,composition,Atoms,reduced_formula,mp-id,icsd_id,Make,Matches,0
733,Cs1Bi2Cl7,"[1, 2, 7]",CsBi2Cl7,[],[],False,True,
734,Cs1Bi3Cl10,"[1, 3, 10]",CsBi3Cl10,[],[],False,False,
735,Cs1Bi4Cl13,"[1, 4, 13]",CsBi4Cl13,[],[],False,False,
736,Cs2Bi1Cl5,"[2, 1, 5]",Cs2BiCl5,[],[],True,True,
737,Cs2Bi3Cl11,"[2, 3, 11]",Cs2Bi3Cl11,[],[],False,False,
738,Cs3Bi1Cl6,"[3, 1, 6]",Cs3BiCl6,mp-1112979,[201982],True,True,
739,Cs3Bi2Cl9,"[3, 2, 9]",Cs3Bi2Cl9,mp-1204727,[2067],True,True,
740,Cs4Bi1Cl7,"[4, 1, 7]",Cs4BiCl7,[],[],False,False,
741,Cs4Bi3Cl13,"[4, 3, 13]",Cs4Bi3Cl13,[],[],True,False,
742,Cs5Bi1Cl8,"[5, 1, 8]",Cs5BiCl8,[],[],False,False,
743,Cs5Bi2Cl11,"[5, 2, 11]",Cs5Bi2Cl11,[],[],True,False,
744,Cs6Bi1Cl9,"[6, 1, 9]",Cs6BiCl9,[],[],False,False,
745,Cs7Bi1Cl10,"[7, 1, 10]",Cs7BiCl10,[],[],False,False,
746,Cs8Bi1Cl11,"[8, 1, 11]",Cs8BiCl11,[],[],False,False,
747,Cs1Pb1Br3,"[1, 1, 3]",CsPbBr3,mp-567629,[97851],True,True,
748,Cs1Pb2Br5,"[1, 2, 5]",CsPb2Br5,mp-1238811,[],True,True,
749,Cs1Pb3Br7,"[1, 3, 7]",CsPb3Br7,[],[],False,False,
750,Cs1Pb4Br9,"[1, 4, 9]",CsPb4Br9,[],[],False,False,
751,Cs1Pb5Br11,"[1, 5, 11]",CsPb5Br11,[],[],False,False,
752,Cs1Pb6Br13,"[1, 6, 13]",CsPb6Br13,[],[],False,False,
753,Cs2Pb1Br4,"[2, 1, 4]",Cs2PbBr4,[],[],True,False,
754,Cs2Pb3Br8,"[2, 3, 8]",Cs2Pb3Br8,[],[],True,False,
755,Cs2Pb5Br12,"[2, 5, 12]",Cs2Pb5Br12,[],[],True,False,
756,Cs3Pb1Br5,"[3, 1, 5]",Cs3PbBr5,[],[],True,True,
757,Cs3Pb2Br7,"[3, 2, 7]",Cs3Pb2Br7,[],[],True,False,
758,Cs3Pb4Br11,"[3, 4, 11]",Cs3Pb4Br11,[],[],True,False,
759,Cs4Pb1Br6,"[4, 1, 6]",Cs4PbBr6,mp-23436,"[25124, 162158]",True,True,
760,Cs4Pb3Br10,"[4, 3, 10]",Cs4Pb3Br10,[],[],True,False,
761,Cs5Pb1Br7,"[5, 1, 7]",Cs5PbBr7,[],[],False,False,
762,Cs5Pb2Br9,"[5, 2, 9]",Cs5Pb2Br9,[],[],True,False,
763,Cs5Pb3Br11,"[5, 3, 11]",Cs5Pb3Br11,[],[],True,False,
764,Cs6Pb1Br8,"[6, 1, 8]",Cs6PbBr8,[],[],False,False,
765,Cs7Pb1Br9,"[7, 1, 9]",Cs7PbBr9,[],[],False,False,
766,Cs7Pb2Br11,"[7, 2, 11]",Cs7Pb2Br11,[],[],True,False,
767,Cs8Pb1Br10,"[8, 1, 10]",Cs8PbBr10,[],[],False,False,
768,Cs1Pb1I3,"[1, 1, 3]",CsPbI3,mp-1120768,"[161481, 181288]",True,True,
769,Cs1Pb2I5,"[1, 2, 5]",CsPb2I5,mp-1238789,[],True,True,
770,Cs1Pb3I7,"[1, 3, 7]",CsPb3I7,[],[],False,False,
771,Cs1Pb4I9,"[1, 4, 9]",CsPb4I9,[],[],False,False,
772,Cs1Pb5I11,"[1, 5, 11]",CsPb5I11,[],[],False,False,
773,Cs1Pb6I13,"[1, 6, 13]",CsPb6I13,[],[],False,False,
774,Cs2Pb1I4,"[2, 1, 4]",Cs2PbI4,[],[],True,False,
775,Cs2Pb3I8,"[2, 3, 8]",Cs2Pb3I8,[],[],True,False,
776,Cs2Pb5I12,"[2, 5, 12]",Cs2Pb5I12,[],[],True,False,
777,Cs3Pb1I5,"[3, 1, 5]",Cs3PbI5,[],[],True,True,
778,Cs3Pb2I7,"[3, 2, 7]",Cs3Pb2I7,[],[],True,False,
779,Cs3Pb4I11,"[3, 4, 11]",Cs3Pb4I11,[],[],True,False,
780,Cs4Pb1I6,"[4, 1, 6]",Cs4PbI6,mp-1238804,[],True,True,
781,Cs4Pb3I10,"[4, 3, 10]",Cs4Pb3I10,[],[],True,False,
782,Cs5Pb1I7,"[5, 1, 7]",Cs5PbI7,[],[],False,False,
783,Cs5Pb2I9,"[5, 2, 9]",Cs5Pb2I9,[],[],True,False,
784,Cs5Pb3I11,"[5, 3, 11]",Cs5Pb3I11,[],[],True,False,
785,Cs6Pb1I8,"[6, 1, 8]",Cs6PbI8,[],[],False,False,
786,Cs7Pb1I9,"[7, 1, 9]",Cs7PbI9,[],[],False,False,
787,Cs7Pb2I11,"[7, 2, 11]",Cs7Pb2I11,[],[],True,False,
788,Cs8Pb1I10,"[8, 1, 10]",Cs8PbI10,[],[],False,False,
789,Cs1Pb1Cl3,"[1, 1, 3]",CsPbCl3,mp-675524,"[201250, 181780, 181286, 201251, 181779, 181781, 29072]",True,True,
790,Cs1Pb2Cl5,"[1, 2, 5]",CsPb2Cl5,mp-1097709,[249888],True,True,
791,Cs1Pb3Cl7,"[1, 3, 7]",CsPb3Cl7,[],[],False,False,
792,Cs1Pb4Cl9,"[1, 4, 9]",CsPb4Cl9,[],[],False,False,
793,Cs1Pb5Cl11,"[1, 5, 11]",CsPb5Cl11,[],[],False,False,
794,Cs1Pb6Cl13,"[1, 6, 13]",CsPb6Cl13,[],[],False,False,
795,Cs2Pb1Cl4,"[2, 1, 4]",Cs2PbCl4,[],[],True,False,
796,Cs2Pb3Cl8,"[2, 3, 8]",Cs2Pb3Cl8,[],[],True,False,
797,Cs2Pb5Cl12,"[2, 5, 12]",Cs2Pb5Cl12,[],[],True,False,
798,Cs3Pb1Cl5,"[3, 1, 5]",Cs3PbCl5,[],[],True,True,
799,Cs3Pb2Cl7,"[3, 2, 7]",Cs3Pb2Cl7,[],[],True,False,
800,Cs3Pb4Cl11,"[3, 4, 11]",Cs3Pb4Cl11,[],[],True,False,
801,Cs4Pb1Cl6,"[4, 1, 6]",Cs4PbCl6,mp-1190733,"[41382, 35703, 25123, 62351]",True,True,
802,Cs4Pb3Cl10,"[4, 3, 10]",Cs4Pb3Cl10,[],[],True,False,
803,Cs5Pb1Cl7,"[5, 1, 7]",Cs5PbCl7,[],[],False,False,
804,Cs5Pb2Cl9,"[5, 2, 9]",Cs5Pb2Cl9,[],[],True,False,
805,Cs5Pb3Cl11,"[5, 3, 11]",Cs5Pb3Cl11,[],[],True,False,
806,Cs6Pb1Cl8,"[6, 1, 8]",Cs6PbCl8,[],[],False,False,
807,Cs7Pb1Cl9,"[7, 1, 9]",Cs7PbCl9,[],[],False,False,
808,Cs7Pb2Cl11,"[7, 2, 11]",Cs7Pb2Cl11,[],[],True,False,
809,Cs8Pb1Cl10,"[8, 1, 10]",Cs8PbCl10,[],[],False,False,
810,Cs1Sb1Br4,"[1, 1, 4]",CsSbBr4,[],[],False,True,
811,Cs1Sb2Br7,"[1, 2, 7]",CsSb2Br7,[],[],False,True,
812,Cs1Sb3Br10,"[1, 3, 10]",CsSb3Br10,[],[],False,False,
813,Cs1Sb4Br13,"[1, 4, 13]",CsSb4Br13,[],[],False,False,
814,Cs2Sb1Br5,"[2, 1, 5]",Cs2SbBr5,[],[],True,True,
815,Cs2Sb3Br11,"[2, 3, 11]",Cs2Sb3Br11,[],[],False,False,
816,Cs3Sb1Br6,"[3, 1, 6]",Cs3SbBr6,mp-1112952,[],True,True,
817,Cs3Sb2Br9,"[3, 2, 9]",Cs3Sb2Br9,mp-579560,[39824],True,True,
818,Cs4Sb1Br7,"[4, 1, 7]",Cs4SbBr7,[],[],False,False,
819,Cs4Sb3Br13,"[4, 3, 13]",Cs4Sb3Br13,[],[],True,False,
820,Cs5Sb1Br8,"[5, 1, 8]",Cs5SbBr8,[],[],False,False,
821,Cs5Sb2Br11,"[5, 2, 11]",Cs5Sb2Br11,[],[],True,False,
822,Cs6Sb1Br9,"[6, 1, 9]",Cs6SbBr9,[],[],False,False,
823,Cs7Sb1Br10,"[7, 1, 10]",Cs7SbBr10,[],[],False,False,
824,Cs8Sb1Br11,"[8, 1, 11]",Cs8SbBr11,[],[],False,False,
825,Cs1Sb1I4,"[1, 1, 4]",CsSbI4,[],[],False,True,
826,Cs1Sb2I7,"[1, 2, 7]",CsSb2I7,[],[],False,True,
827,Cs1Sb3I10,"[1, 3, 10]",CsSb3I10,[],[],False,False,
828,Cs1Sb4I13,"[1, 4, 13]",CsSb4I13,[],[],False,False,
829,Cs2Sb1I5,"[2, 1, 5]",Cs2SbI5,[],[],True,True,
830,Cs2Sb3I11,"[2, 3, 11]",Cs2Sb3I11,[],[],False,False,
831,Cs3Sb1I6,"[3, 1, 6]",Cs3SbI6,mp-1112968,[],True,True,
832,Cs3Sb2I9,"[3, 2, 9]",Cs3Sb2I9,mp-23029,"[300002, 1447, 84989]",True,True,
833,Cs4Sb1I7,"[4, 1, 7]",Cs4SbI7,[],[],False,False,
834,Cs4Sb3I13,"[4, 3, 13]",Cs4Sb3I13,[],[],True,False,
835,Cs5Sb1I8,"[5, 1, 8]",Cs5SbI8,[],[],False,False,
836,Cs5Sb2I11,"[5, 2, 11]",Cs5Sb2I11,[],[],True,False,
837,Cs6Sb1I9,"[6, 1, 9]",Cs6SbI9,[],[],False,False,
838,Cs7Sb1I10,"[7, 1, 10]",Cs7SbI10,[],[],False,False,
839,Cs8Sb1I11,"[8, 1, 11]",Cs8SbI11,[],[],False,False,
840,Cs1Sb1Cl4,"[1, 1, 4]",CsSbCl4,[],[],False,True,
841,Cs1Sb2Cl7,"[1, 2, 7]",CsSb2Cl7,[],[],False,True,
842,Cs1Sb3Cl10,"[1, 3, 10]",CsSb3Cl10,[],[],False,False,
843,Cs1Sb4Cl13,"[1, 4, 13]",CsSb4Cl13,[],[],False,False,
844,Cs2Sb1Cl5,"[2, 1, 5]",Cs2SbCl5,[],[],True,True,
845,Cs2Sb3Cl11,"[2, 3, 11]",Cs2Sb3Cl11,[],[],False,False,
846,Cs3Sb1Cl6,"[3, 1, 6]",Cs3SbCl6,mp-1113496,[],True,True,
847,Cs3Sb2Cl9,"[3, 2, 9]",Cs3Sb2Cl9,mp-27629,[22075],True,True,
848,Cs4Sb1Cl7,"[4, 1, 7]",Cs4SbCl7,[],[],False,False,
849,Cs4Sb3Cl13,"[4, 3, 13]",Cs4Sb3Cl13,[],[],True,False,
850,Cs5Sb1Cl8,"[5, 1, 8]",Cs5SbCl8,[],[],False,False,
851,Cs5Sb2Cl11,"[5, 2, 11]",Cs5Sb2Cl11,[],[],True,False,
852,Cs6Sb1Cl9,"[6, 1, 9]",Cs6SbCl9,[],[],False,False,
853,Cs7Sb1Cl10,"[7, 1, 10]",Cs7SbCl10,[],[],False,False,
854,Cs8Sb1Cl11,"[8, 1, 11]",Cs8SbCl11,[],[],False,False,
855,Cs1Sn1Br5,"[1, 1, 5]",CsSnBr5,[],[],False,False,
856,Cs1Sn2Br9,"[1, 2, 9]",CsSn2Br9,[],[],False,False,
857,Cs1Sn3Br13,"[1, 3, 13]",CsSn3Br13,[],[],False,False,
858,Cs2Sn1Br6,"[2, 1, 6]",Cs2SnBr6,mp-641923,[158957],True,True,
859,Cs2Sn3Br14,"[2, 3, 14]",Cs2Sn3Br14,[],[],False,False,
860,Cs3Sn1Br7,"[3, 1, 7]",Cs3SnBr7,[],[],False,False,
861,Cs3Sn2Br11,"[3, 2, 11]",Cs3Sn2Br11,[],[],False,False,
862,Cs4Sn1Br8,"[4, 1, 8]",Cs4SnBr8,[],[],False,False,
863,Cs5Sn1Br9,"[5, 1, 9]",Cs5SnBr9,[],[],False,False,
864,Cs5Sn2Br13,"[5, 2, 13]",Cs5Sn2Br13,[],[],False,False,
865,Cs6Sn1Br10,"[6, 1, 10]",Cs6SnBr10,[],[],False,False,
866,Cs7Sn1Br11,"[7, 1, 11]",Cs7SnBr11,[],[],False,False,
867,Cs1Sn1I5,"[1, 1, 5]",CsSnI5,[],[],False,False,
868,Cs1Sn2I9,"[1, 2, 9]",CsSn2I9,[],[],False,False,
869,Cs1Sn3I13,"[1, 3, 13]",CsSn3I13,[],[],False,False,
870,Cs2Sn1I6,"[2, 1, 6]",Cs2SnI6,mp-27636,"[250743, 22105]",True,True,
871,Cs2Sn3I14,"[2, 3, 14]",Cs2Sn3I14,[],[],False,False,
872,Cs3Sn1I7,"[3, 1, 7]",Cs3SnI7,[],[],False,False,
873,Cs3Sn2I11,"[3, 2, 11]",Cs3Sn2I11,[],[],False,False,
874,Cs4Sn1I8,"[4, 1, 8]",Cs4SnI8,[],[],False,False,
875,Cs5Sn1I9,"[5, 1, 9]",Cs5SnI9,[],[],False,False,
876,Cs5Sn2I13,"[5, 2, 13]",Cs5Sn2I13,[],[],False,False,
877,Cs6Sn1I10,"[6, 1, 10]",Cs6SnI10,[],[],False,False,
878,Cs7Sn1I11,"[7, 1, 11]",Cs7SnI11,[],[],False,False,
