,elements,charge_states,probabilities
61,Te,"[-2, -1, 1, 2, 3, 4, 5, 6]","[0.46, 0.219, 0.069, 0.028, 0.011, 0.158, 0.006, 0.05]"
62,Ta,"[1, 2, 3, 4, 5]","[0.202, 0.098, 0.178, 0.098, 0.423]"
63,Ru,"[-4, -2, 1, 2, 3, 4, 5, 6, 8]","[0.328, 0.298, 0.076, 0.061, 0.061, 0.076, 0.069, 0.015, 0.015]"
64,Br,"[-1, 1, 3, 4, 5, 7]","[0.881, 0.044, 0.026, 0.006, 0.035, 0.007]"
65,Bi,"[-3, -2, -1, 1, 2, 3, 5]","[0.113, 0.08, 0.094, 0.127, 0.005, 0.526, 0.056]"
66,Eu,"[2, 3]","[0.703, 0.297]"
67,H,"[-1, 1]","[0.418, 0.582]"
68,N,"[-3, -2, -1, 1, 2, 3, 4, 5]","[0.421, 0.181, 0.166, 0.106, 0.017, 0.032, 0.017, 0.061]"
69,Mg,"[1, 2]","[0.192, 0.808]"
70,Tl,"[-5, -2, -1, 1, 2, 3]","[0.06, 0.078, 0.166, 0.378, 0.115, 0.203]"
71,Hf,"[1, 2, 3, 4]","[0.28, 0.184, 0.2, 0.336]"
72,Cd,"[-2, 1, 2]","[0.132, 0.053, 0.815]"
73,Re,"[-3, -1, 1, 2, 3, 4, 5, 6, 7]","[0.098, 0.165, 0.068, 0.09, 0.128, 0.143, 0.098, 0.038, 0.173]"
74,As,"[-3, -2, -1, 1, 2, 3, 4, 5]","[0.362, 0.16, 0.075, 0.055, 0.026, 0.137, 0.003, 0.182]"
75,Th,"[1, 2, 3, 4]","[0.163, 0.185, 0.141, 0.511]"
76,Os,"[-4, -2, -1, 1, 2, 3, 4, 5, 6, 7]","[0.333, 0.107, 0.226, 0.012, 0.024, 0.036, 0.143, 0.06, 0.024, 0.036]"
77,Be,"[1, 2]","[0.089, 0.911]"
78,Xe,"[2, 4, 6]","[0.391, 0.043, 0.565]"
